cohort,low,high,out
abcd,0,12,0 - 12
alspac,0,17,0 - 17
bib,0,10,0 - 10
chop,0,12,0 - 12
dnbc,0,18,0 - 18
eden,0,12,0 - 12
elfe,0,9,0 - 9
gecko,0,11,0 - 11
genr,0,10,0 - 10
hgs,10,14,10 - 14
inma,0,11,0 - 11
moba,0,8,0 - 8
nfbc66,0,16,0 - 16
nfbc86,0,16,0 - 16
ninfea,0,14,0 - 14
raine,1,17,1 - 17
rhea,0,12,0 - 12
sws,0,10,0 - 10
