"","cohort","valid_n_bmi.24","med_range_age.24","med_range_bmi.24","valid_n_bmi.48","med_range_age.48","med_range_bmi.48","valid_n_bmi.96","med_range_age.96","med_range_bmi.96","valid_n_bmi.168","med_range_age.168","med_range_bmi.168","med_range_age.215","med_range_bmi.215"
"1","genr",5783,"1 (1, 11)","15.33 (11.54, 18.34)",5814,"31 (26, 45)","16.13 (14.19, 18.6)",5390,"71 (68, 80)","15.78 (13.96, 19.26)",4739,"116 (113, 123)","16.87 (14.36, 22.79)","NA (NA, NA)","NA (NA, NA)"
"2","ninfea",5587,"3 (3, 12)","15.97 (13.06, 19.25)",4515,"48 (48, 48)","15.42 (13, 18.49)",3155,"60 (50, 84)","15.38 (12.81, 19.01)",940,"121 (117, 132)","16.88 (13.51, 22.04)","NA (NA, NA)","NA (NA, NA)"
"3","chop",1361,"2 (1, 3)","15.95 (13.65, 18.39)",829,"30 (29, 36)","15.99 (14.16, 18.47)",978,"54 (53, 74)","15.76 (13.75, 19.2)",690,"133 (99, 143.4)","17.78 (14.47, 24.77)","NA (NA, NA)","NA (NA, NA)"
"4","moba",70506,"1 (1, 3)","15.71 (13.24, 18.34)",41261,"36 (36, 36)","16.02 (13.82, 18.67)",51170,"60 (60, 96)","15.53 (13.22, 18.85)",0,"NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
"5","raine",2275,"12 (12, 12)","16.99 (14.95, 19.51)",0,"NA (NA, NA)","NA (NA, NA)",1962,"60 (60, 96)","15.55 (13.66, 19.28)",1770,"120 (120, 156)","18.09 (14.77, 25.47)","192 (192, 192)","22.06 (17.9, 31.92)"
"6","dnbc",56543,"5 (4, 6)","16.6 (14.26, 19.59)",8,"48 (36.35, 48)","15.47 (13.29, 16.85)",29377,"84 (76, 88)","15.45 (13.4, 18.65)",30436,"133 (130, 152)","17.04 (14.2, 22.05)","175 (170.5, 179.5)","20.17 (18.59, 21.74)"
"7","gecko",2776,"1 (1, 2)","15.49 (13.24, 17.95)",2045,"36 (26, 46)","15.96 (14.19, 18.3)",2290,"70 (62, 77)","15.84 (14.01, 18.8)",2189,"127 (119, 137)","17.22 (14.54, 23.42)","NA (NA, NA)","NA (NA, NA)"
"8","inma",1906,"1 (1, 2)","15.09 (12.81, 17.64)",1063,"37 (26.65, 48)","16.11 (13.98, 18.99)",1611,"52 (50, 69.35)","15.99 (14.13, 19.47)",976,"110 (100, 131)","17.77 (14.42, 24.6)","NA (NA, NA)","NA (NA, NA)"
"9","Combined",146737,"2.65989383919248 (2.29716945949978, 4.86902068519716)","16.0592872332851 (13.5830624206805, 18.8593084132242)",55535,"NA (NA, NA)","NA (NA, NA)",95933,"67.5337318865395 (64.5105329589151, 91.3848800915824)","15.5351926199032 (13.3509031131634, 18.8365451094116)",41740,"NA (NA, NA)","NA (NA, NA)","NA (NA, NA)","NA (NA, NA)"
