"","cohort","valid_n_ht.730","med_range_ht.730","valid_n_ht.1461","med_range_ht.1461","valid_n_ht.2922","med_range_ht.2922","valid_n_ht.5113","med_range_ht.5113","valid_n_ht.6544","med_range_ht.6544","valid_n_wt.730","med_range_wt.730","valid_n_wt.1461","med_range_wt.1461","valid_n_wt.2922","med_range_wt.2922","valid_n_wt.5113","med_range_wt.5113","valid_n_wt.6544","med_range_wt.6544"
"1","CHOP (n=1659)",1659,"51.8 (47.8, 58.11)",927,"89.2 (83.1, 96)",1088,"107 (98.42, 123.5)",751,"137.2 (122.5, 158.9)",0,"NA (NA, NA)",1658,"3.55 (2.76, 5.32)",926,"12.7 (10.6, 15.9)",1089,"18.3 (14.5, 26.72)",753,"32.5 (22.5, 53.26)",0,"NA (NA, NA)"
"2","DNBC (n=76614)",56840,"68 (64, 74)",14,"105.75 (94.43, 128.97)",43236,"125.5 (116, 135)",44343,"151 (139, 165)",135,"167 (154.7, 180)",56943,"7.8 (6.3, 9.8)",14,"17.3 (13.84, 26.74)",43191,"24.2 (19.5, 32)",44215,"39 (30, 55)",135,"55 (40, 71.3)"
"3","GECKO (n=2796)",2784,"55 (51, 60.5)",2231,"91 (84.5, 103.3)",2328,"117.5 (104.5, 127)",2202,"148 (137, 159.8)",0,"NA (NA, NA)",2784,"4.64 (3.59, 6.1)",2231,"13.5 (11.08, 17.5)",2328,"21.6 (16.4, 28.5)",2197,"37.6 (29.2, 56.3)",0,"NA (NA, NA)"
"4","Gen-R (n=8664)",7220,"56 (51, 75)",6464,"90 (83.5, 101)",6574,"118.6 (108.5, 129)",5723,"141.1 (130.6, 152.5)",0,"NA (NA, NA)",7228,"4.63 (3.48, 9.39)",6478,"13.3 (10.9, 17)",6574,"22.2 (17.6, 30.43)",5724,"33.8 (26.2, 49.37)",0,"NA (NA, NA)"
"5","INMA (n=1953)",1945,"51.5 (48, 57)",1167,"89.5 (82.5, 101)",1651,"104.5 (97.5, 112.5)",1059,"135 (123.89, 149.06)",0,"NA (NA, NA)",1945,"3.54 (2.67, 4.96)",1172,"13.2 (10.6, 17.03)",1651,"17.4 (14.2, 22.95)",1061,"32.4 (23.7, 49.4)",0,"NA (NA, NA)"
"6","MoBa (n=82843)",70525,"57.2 (52.5, 65)",46439,"92 (84, 101)",50794,"116 (105, 132)",26500,"132 (123, 142)",0,"NA (NA, NA)",82316,"5.13 (3.82, 7.1)",47128,"13.9 (11, 17.4)",51021,"21 (16, 30)",25743,"28 (22, 37.7)",0,"NA (NA, NA)"
"7","NINFEA (n=6532)",6272,"61 (55, 79)",3185,"102 (90, 110)",4789,"104 (97, 116)",1393,"140 (127, 155)",12,"165 (154.05, 172.7)",6413,"5.95 (4.5, 9.8)",3258,"16 (13, 20)",4859,"17 (13, 22)",1412,"33 (24, 49)",12,"52 (41.65, 68.35)"
"8","RAINE (n=2322)",2264,"77.5 (72.4, 82.89)",584,"90 (84, 96)",1908,"116.2 (108.13, 125.4)",1814,"134.7 (122, 152)",1494,"166 (153, 182)",2271,"10.2 (8.39, 12.48)",634,"12.9 (10.6, 15.67)",1907,"21.1 (16.87, 28.2)",1814,"31 (22.68, 49.9)",1493,"58.25 (41.78, 88.03)"
"9","Combined (n=183383)",149509,"61.54 (57.07, 69.5)",61011,"92.17 (84.24, 101.44)",112368,"119.07 (108.97, 131.71)",83785,"143.37 (132.41, 156.03)",1641,"166.07 (153.15, 181.77)",161558,"6.11 (4.74, 8.28)",61841,"13.89 (11.08, 17.45)",112620,"22.06 (17.29, 30.25)",82919,"34.77 (26.82, 48.97)",1640,"57.94 (41.63, 86.51)"
