variable,category,value
edu_m_n,1,3639
edu_m_n,2,4670
edu_m_n,3,4740
edu_m_n,4,3569
edu_m_n,5,10653
a_d_n,1,1512
a_d_n,2,3032
a_d_n,3,3127
a_d_n,4,232
a_d_n,5,725
n_d_n,1,1611
n_d_n,2,2932
n_d_n,3,3070
n_d_n,4,224
n_d_n,5,714
p_d_n,1,1372
p_d_n,2,2798
p_d_n,3,3354
p_d_n,4,1182
p_d_n,5,979
