"","cohort","cat_0.preg_dia","cat_1.preg_dia","missing.preg_dia","cat_0.preg_ht","cat_1.preg_ht","missing.preg_ht","cat_0.greenyn300_.0","cat_1.greenyn300_.0","missing.greenyn300_.0","cat_1.edu_m_.0","cat_2.edu_m_.0","cat_3.edu_m_.0","missing.edu_m_.0","cat_1.edu_f1_.0","cat_2.edu_f1_.0","cat_3.edu_f1_.0","missing.edu_f1_.0","cat_1.areases_tert_.0","cat_2.areases_tert_.0","cat_3.areases_tert_.0","missing.areases_tert_.0","mean_sd_se.ga_bj","valid_n.ga_bj","missing.ga_bj","mean_sd_se.green_dist_.0","valid_n.green_dist_.0","missing.green_dist_.0","mean_sd_se.green_size_.0","valid_n.green_size_.0","missing.green_size_.0","mean_sd_se.ndvi300_.0","valid_n.ndvi300_.0","missing.ndvi300_.0"
"1","genr","9191 (98.87)","105 (1.13)","605 (6.11)","8256 (96.23)","323 (3.77)","1322 (13.35)","NA (NA)","NA (NA)","9901 (100)","3713 (42.87)","3980 (45.95)","968 (11.18)","1240 (14.32)","2678 (50.7)","2164 (40.97)","440 (8.33)","4619 (87.45)","NA (NA)","NA (NA)","NA (NA)","9901 (Inf)","281.94 (14.04)",9660,"241 (2.49)","NA (NA)",0,"9901 (Inf)","NA (NA)",0,"9901 (Inf)","NA (NA)",0,"9901 (Inf)"
"2","ninfea","5578 (91.91)","491 (8.09)","1576 (20.61)","5894 (96.75)","198 (3.25)","1553 (20.31)","482 (20.47)","1873 (79.53)","5290 (69.2)","4580 (60.43)","2555 (33.71)","444 (5.86)","66 (0.87)","2911 (39.45)","3169 (42.95)","1299 (17.6)","266 (3.6)","0 (NaN)","0 (NaN)","0 (NaN)","7645 (Inf)","277.39 (12.63)",6905,"740 (10.72)","188.53 (128.82)",2355,"5290 (224.63)","38854.3 (182133.13)",2355,"5290 (224.63)","0.25 (0.09)",2355,"5290 (224.63)"
"7","Combined","14769 (96.12)","596 (3.88)","2181 (12.43)","14150 (96.45)","521 (3.55)","2875 (16.39)","482 (20.47)","1873 (79.53)","15191 (86.58)","8293 (51.07)","6535 (40.24)","1412 (8.69)","1306 (8.04)","5589 (44.14)","5333 (42.12)","1739 (13.74)","4885 (38.58)","0 (NaN)","0 (NaN)","0 (NaN)","17546 (Inf)","279.67 (2.27)",16565,"981 (5.92)","188.53 (2.65)",2355,"15191 (645.05)","38854.3 (3753.13)",2355,"15191 (645.05)","0.25 (0)",2355,"15191 (645.05)"
