"","cohort","mean_sd.bmi.24","mean_sd.bmi.48","mean_sd.bmi.96","mean_sd.bmi.168","mean_sd.bmi.215","mean_sd.height_age.24","mean_sd.height_age.48","mean_sd.height_age.96","mean_sd.height_age.168","mean_sd.height_age.215"
"1","genr","14.31 (1.39)","15.02 (1.36)","13.73 (2.07)","16.77 (1.42)","17.25 (1.42)","21.57 (3.16)","33.43 (4.89)","74.2 (12.3)","116.32 (15.11)","188.72 (9.14)"
"2","ninfea","NA (NA)","NA (NA)","15.94 (1.93)","16.64 (1.53)","16.85 (1.75)","NA (NA)","NA (NA)","91 (0.11)","138.55 (20.42)","189.85 (9.79)"
