"","exposure","bmi_24","bmi_48","bmi_96","bmi_168","bmi_215"
"1","mat_ed",173743,66339,95685,67244,6342
"2","area_dep",13394,7363,9778,4517,NA
"3","ndvi",12707,7036,9336,4331,NA
"4","preg_dia",160523,57692,86230,59628,NA
