"","cohort","cat_0.sex","cat_1.sex","missing.sex","cat_0.preg_smk","cat_1.preg_smk","missing.preg_smk","cat_1.ethn3_m","cat_2.ethn3_m","cat_3.ethn3_m","missing.ethn3_m","missing","cat_1.parity_m","cat_2.parity_m","cat_3.parity_m","cat_4.parity_m","mean_sd_se.agebirth_m_y","valid_n.agebirth_m_y","missing.agebirth_m_y","mean_sd_se.height_m","valid_n.height_m","missing.height_m","mean_sd_se.prepreg_weight","valid_n.prepreg_weight","missing.prepreg_weight"
"1","genr","4938 (49.87)","4808 (48.56)","155 (1.57)","6126 (61.87)","2216 (22.38)","1559 (15.75)","5041 (50.91)","3208 (32.4)","904 (9.13)","748 (7.55)","5618 (56.74)","2880 (29.09)","993 (10.03)","290 (2.93)","120 (1.21)","30.35 (5.36)",9747,"154 (1.56)","167.3 (7.42)",9470,"431 (4.35)","66.47 (12.92)",7486,"2415 (24.39)"
"2","ninfea","3456 (45.21)","3359 (43.94)","830 (10.86)","6905 (90.32)","639 (8.36)","101 (1.32)","0 (0)","0 (0)","0 (0)","7645 (100)","5639 (73.76)","1645 (21.52)","320 (4.19)","37 (0.48)","4 (0.05)","33.2 (4.31)",6907,"738 (9.65)","164.98 (6.21)",7419,"226 (2.96)","61.26 (11.4)",7419,"226 (2.96)"
"5","Combined","8394 (47.84)","8167 (46.55)","985 (5.61)","13031 (74.27)","2855 (16.27)","1660 (9.46)","5041 (28.73)","3208 (18.28)","904 (5.15)","8393 (47.83)","11257 (64.16)","4525 (25.79)","1313 (7.48)","327 (1.86)","124 (0.71)","31.78 (1.42)",16654,"892 (5.08)","166.14 (1.16)",16889,"657 (3.74)","63.86 (2.6)",14905,"2641 (15.05)"
