"","cohort","valid_n_ht.24","med_range_ht.24","valid_n_ht.48","med_range_ht.48","valid_n_ht.96","med_range_ht.96","valid_n_ht.168","med_range_ht.168","valid_n_wt.24","med_range_wt.24","valid_n_wt.48","med_range_wt.48","valid_n_wt.96","med_range_wt.96","valid_n_wt.168","med_range_wt.168"
"1","genr",6091,"57 (51, 76)",5827,"94 (86.5, 103.5)",5390,"118.5 (110, 128.4)",4739,"141.3 (131.2, 152.6)",6876,"4.72 (3.5, 9.74)",5911,"14.3 (11.6, 18)",5390,"22.2 (18, 30)",4740,"33.8 (26.4, 48.8)"
"2","ninfea",5607,"61 (55, 76)",4528,"103 (95, 110)",3253,"110 (99, 127)",1153,"141 (130, 155)",6242,"5.95 (4.5, 9.9)",4623,"16 (13, 20)",3376,"18 (14, 27)",1089,"34 (25.54, 50)"
"3","chop",1361,"59.8 (53.7, 63.9)",832,"92.3 (86.5, 98.69)",980,"108.45 (100.4, 123)",690,"147 (130.14, 160.45)",1363,"5.68 (4.14, 6.97)",839,"13.6 (11.29, 16.7)",984,"18.7 (15, 26)",693,"39.1 (26.72, 59.64)"
"4","moba",70536,"57.3 (52.5, 65)",42565,"97 (90, 103)",52786,"117 (105, 134)",0,"NA (NA, NA)",81997,"5.13 (3.82, 7.11)",43650,"15 (12.14, 18)",52999,"21.1 (16.2, 30.5)",0,"NA (NA, NA)"
"5","raine",2278,"77.6 (72.4, 83)",0,"NA (NA, NA)",1966,"116.4 (108.2, 128)",1771,"144.5 (133.3, 162.1)",2287,"10.22 (8.39, 12.55)",0,"NA (NA, NA)",1965,"21.2 (16.9, 29.69)",1771,"38 (28, 60.8)"
"6","dnbc",56641,"68 (64, 74)",8,"108.5 (101.43, 131.52)",29428,"125.5 (116, 135)",30565,"150 (139, 165)",56812,"7.8 (6.3, 9.8)",8,"18.25 (16.11, 25.77)",29391,"24.2 (19.5, 32)",30473,"39 (30, 55)"
"7","gecko",2779,"56 (51.59, 62)",2046,"97 (88, 106.5)",2290,"118.2 (109, 127)",2194,"147.95 (137, 159.8)",2782,"4.89 (3.73, 6.5)",2061,"15.1 (11.9, 18.9)",2290,"22.1 (17.95, 28.9)",2189,"37.6 (29.2, 56.3)"
"8","inma",1906,"55.5 (51, 61)",1063,"97 (87, 107.5)",1611,"106 (98.78, 116)",977,"136 (124.9, 150.01)",1937,"4.63 (3.53, 6.34)",1074,"15.11 (11.6, 20)",1614,"18 (14.6, 24.14)",984,"33.23 (24, 50.58)"
"9","Combined",147199,"61.84 (57.24, 69.5)",56869,"NA (NA, NA)",97704,"119.16 (108.4, 133.07)",42089,"NA (NA, NA)",160296,"6.16 (4.77, 8.34)",58166,"NA (NA, NA)",98009,"21.93 (17.23, 30.6)",41939,"NA (NA, NA)"
