"","cohort","edu_m_.0_cat_1","edu_m_.0_cat_2","edu_m_.0_cat_3","preg_dia_cat_0","preg_dia_cat_1","greenyn300_.0_cat_0","greenyn300_.0_cat_1","cohort","mean_ga_bj","mean_green_dist_.0","std.dev_se_ga_bj","std.dev_se_green_dist_.0"
"1","genr","3390 (45.55)","3302 (44.37)","750 (10.08)","7070 (99.05)","68 (0.95)","NA (NA)","NA (NA)","genr",282.35,NA,13.01,NA
"2","ninfea","3671 (63.36)","1864 (32.17)","259 (4.47)","4885 (92.1)","419 (7.9)","0 (0)","1571 (100)","ninfea",277.98,189.3,11.79,128
"3","Combined","7061 (53.35)","5166 (39.03)","1009 (7.62)","11955 (96.09)","487 (3.91)","0 (0)","1571 (100)","Combined",280.17,189.3,2.18,2.89
