,variable,age_0_24,age_25_48,age_49_96,age_96_168
1,edu_m2,"0.02 (0, 0.04)","-0.04 (-0.07, -0.02)","0.17 (0.14, 0.2)","0.34 (0.3, 0.38)"
2,edu_m3,"0.02 (0, 0.05)","0.04 (-0.02, 0.11)","0.36 (0.32, 0.39)","0.71 (0.66, 0.76)"
3,ndvi300_0_1,"0.04 (-0.28, 0.35)","-0.08 (-0.4, 0.25)","0.32 (0.01, 0.63)","-0.04 (-0.73, 0.65)"
4,preg_dia1,"0 (-0.09, 0.09)","-0.02 (-0.15, 0.11)","0.03 (-0.09, 0.14)","0.39 (0.2, 0.57)"
