"","exposure","bmi_24","bmi_48","bmi_96","bmi_168","bmi_215"
"1","mat_ed",41310,22871,21218,15660,6342
"2","area_dep",3868,2111,3066,1366,NA
"3","ndvi",3777,2063,3002,1342,NA
"4","preg_dia",30935,15144,13182,8896,NA
